week,origin_state,dest_state,count
2020-01-04,Mississippi,Georgia,37
2020-01-04,Mississippi,Florida,1
2020-01-04,Minnesota,Wyoming,2
2020-01-04,Minnesota,Wisconsin,34
2020-01-04,District of Columbia,Georgia,186
2020-01-04,Minnesota,Washington,64
2020-01-04,Utah,Hawaii,11
2020-01-04,District of Columbia,Florida,381
2020-01-04,Washington,South Carolina,5
2020-01-04,Arkansas,Georgia,38
2020-01-04,Missouri,District of Columbia,41
2020-01-04,Connecticut,Pennsylvania,11
2020-01-04,Alaska,Washington,191
2020-01-04,Ohio,Massachusetts,35
2020-01-04,Wyoming,New York,2
2020-01-04,Missouri,Maryland,35
2020-01-04,Utah,District of Columbia,14
2020-01-04,Missouri,Louisiana,22
2020-01-04,Missouri,Kansas,13
2020-01-04,Connecticut,Texas,7
2020-01-04,District of Columbia,California,186
2020-01-04,Ohio,Michigan,9
2020-01-04,Missouri,Indiana,12
2020-01-04,South Carolina,North Carolina,28
2020-01-04,Missouri,Illinois,150
2020-01-04,Missouri,Georgia,144
2020-01-04,Utah,Florida,48
2020-01-04,Washington,Tennessee,15
2020-01-04,District of Columbia,Arizona,28
2020-01-04,Pennsylvania,Rhode Island,3
2020-01-04,Missouri,Florida,163
2020-01-04,Missouri,Iowa,13
2020-01-04,Minnesota,Hawaii,5
2020-01-04,Arkansas,Florida,5
2020-01-04,District of Columbia,Hawaii,2
2020-01-04,District of Columbia,Minnesota,38
2020-01-04,Ohio,North Carolina,18
2020-01-04,Minnesota,Montana,31
2020-01-04,Minnesota,Missouri,47
2020-01-04,Minnesota,Michigan,67
2020-01-04,Utah,Indiana,7
2020-01-04,District of Columbia,Missouri,41
2020-01-04,Minnesota,Massachusetts,57
2020-01-04,Alaska,Oregon,17
2020-01-04,Washington,Pennsylvania,21
2020-01-04,South Carolina,Texas,28
2020-01-04,District of Columbia,Nebraska,7
2020-01-04,Arkansas,Arizona,3
2020-01-04,Ohio,Pennsylvania,4
2020-01-04,Minnesota,Louisiana,10
2020-01-04,Utah,Louisiana,7
2020-01-04,Arizona,Iowa,28
2020-01-04,Minnesota,Indiana,12
2020-01-04,District of Columbia,Nevada,27
2020-01-04,Minnesota,Illinois,138
2020-01-04,Minnesota,Maryland,32
2020-01-04,Minnesota,Utah,34
2020-01-04,Minnesota,Nevada,54
2020-01-04,Ohio,New York,13
2020-01-04,Ohio,Nevada,56
2020-01-04,Minnesota,Texas,97
2020-01-04,District of Columbia,Illinois,163
2020-01-04,Minnesota,Tennessee,34
2020-01-04,Minnesota,South Dakota,14
2020-01-04,Utah,Idaho,11
2020-01-04,Minnesota,Pennsylvania,16
2020-01-04,District of Columbia,Louisiana,18
2020-01-04,South Carolina,Tennessee,8
2020-01-04,Minnesota,New Jersey,10
2020-01-04,Texas,Idaho,3
2020-01-04,Minnesota,Oregon,20
2020-01-04,Minnesota,Ohio,11
2020-01-04,Minnesota,North Dakota,19
2020-01-04,District of Columbia,Massachusetts,181
2020-01-04,Minnesota,North Carolina,69
2020-01-04,Utah,Illinois,64
2020-01-04,Minnesota,New York,71
2020-01-04,District of Columbia,Michigan,43
2020-01-04,Arkansas,Colorado,6
2020-01-04,Ohio,New Jersey,18
2020-01-04,Michigan,Arizona,67
2020-01-04,Utah,Nevada,84
2020-01-04,Massachusetts,Wisconsin,1
2020-01-04,Maryland,Florida,346
2020-01-04,Arizona,Ohio,44
2020-01-04,Maryland,Connecticut,34
2020-01-04,Utah,Washington,84
2020-01-04,Florida,Oklahoma,5
2020-01-04,Oregon,Arizona,60
2020-01-04,Maryland,Colorado,51
2020-01-04,Florida,Oregon,8
2020-01-04,Tennessee,Florida,253
2020-01-04,Maryland,Georgia,117
2020-01-04,Wisconsin,Washington,7
2020-01-04,Maryland,Arizona,24
2020-01-04,Florida,Pennsylvania,536
2020-01-04,Oregon,California,433
2020-01-04,Maryland,Alabama,7
2020-01-04,Alaska,Arizona,6
2020-01-04,Maine,North Carolina,17
2020-01-04,Utah,Wyoming,19
2020-01-04,Washington,Nebraska,7
2020-01-04,Florida,Rhode Island,86
2020-01-04,Maryland,California,73
2020-01-04,Maine,Maryland,21
2020-01-04,Florida,Ohio,365
2020-01-04,Maryland,Indiana,22
2020-01-04,Maryland,Missouri,30
2020-01-04,Utah,Tennessee,10
2020-01-04,Maryland,Minnesota,28
2020-01-04,Florida,New Jersey,671
2020-01-04,Arizona,Oklahoma,27
2020-01-04,Oklahoma,Texas,154
2020-01-04,Maryland,Michigan,59
2020-01-04,Maryland,Massachusetts,88
2020-01-04,Florida,New York,1162
2020-01-04,Maryland,Illinois,65
2020-01-04,Alaska,California,7
2020-01-04,Utah,Texas,144
2020-01-04,Oklahoma,Washington,7
2020-01-04,Maryland,Louisiana,23
2020-01-04,Florida,North Carolina,648
2020-01-04,Oregon,Alaska,17
2020-01-04,Tennessee,District of Columbia,31
2020-01-04,Maryland,Kentucky,15
2020-01-04,Washington,Nevada,176
2020-01-04,Florida,North Dakota,3
2020-01-04,Maryland,Maine,21
2020-01-04,Tennessee,Colorado,55
2020-01-04,Maine,Georgia,7
2020-01-04,Arizona,North Dakota,26
2020-01-04,Louisiana,Nevada,19
2020-01-04,Florida,Vermont,3
2020-01-04,Oregon,Florida,8
2020-01-04,Louisiana,Missouri,23
2020-01-04,Florida,Virginia,78
2020-01-04,Louisiana,Minnesota,11
2020-01-04,Oregon,Georgia,21
2020-01-04,Louisiana,Michigan,28
2020-01-04,Florida,Washington,60
2020-01-04,Arizona,North Carolina,64
2020-01-04,Alaska,Alaska,422
2020-01-04,Louisiana,Maryland,28
2020-01-04,Louisiana,Kentucky,1
2020-01-04,Oregon,Hawaii,49
2020-01-04,Wyoming,Utah,19
2020-01-04,Florida,West Virginia,11
2020-01-04,Louisiana,Illinois,36
2020-01-04,Louisiana,Georgia,108
2020-01-04,Virginia,Colorado,6
2020-01-04,Washington,Missouri,28
2020-01-04,Louisiana,Massachusetts,19
2020-01-04,Florida,South Carolina,28
2020-01-04,Vermont,New York,21
2020-01-04,Tennessee,Illinois,54
2020-01-04,Maine,Florida,17
2020-01-04,Louisiana,Washington,13
2020-01-04,Florida,South Dakota,6
2020-01-04,Oregon,Colorado,76
2020-01-04,Louisiana,Utah,7
2020-01-04,Tennessee,Georgia,178
2020-01-04,Louisiana,Texas,244
2020-01-04,Vermont,Florida,3
2020-01-04,Florida,Tennessee,253
2020-01-04,Louisiana,New Jersey,27
2020-01-04,Louisiana,Tennessee,36
2020-01-04,Louisiana,Pennsylvania,12
2020-01-04,Florida,Texas,936
2020-01-04,Oregon,District of Columbia,9
2020-01-04,Louisiana,Ohio,8
2020-01-04,Louisiana,North Carolina,40
2020-01-04,Vermont,Illinois,3
2020-01-04,Florida,Utah,48
2020-01-04,Louisiana,New York,50
2020-01-04,Tennessee,Oklahoma,6
2020-01-04,Texas,District of Columbia,218
2020-01-04,Tennessee,Pennsylvania,52
2020-01-04,Florida,New Hampshire,28
2020-01-04,Maryland,Nevada,34
2020-01-04,Washington,New York,50
2020-01-04,Tennessee,South Carolina,8
2020-01-04,Massachusetts,Nevada,49
2020-01-04,Utah,New York,51
2020-01-04,Florida,Illinois,684
2020-01-04,Arizona,South Dakota,9
2020-01-04,Oklahoma,Illinois,3
2020-01-04,Massachusetts,Missouri,20
2020-01-04,Florida,Indiana,170
2020-01-04,Massachusetts,New Jersey,95
2020-01-04,Massachusetts,Minnesota,56
2020-01-04,Massachusetts,Michigan,64
2020-01-04,Florida,Iowa,24
2020-01-04,Oklahoma,Maryland,7
2020-01-04,Massachusetts,Maryland,94
2020-01-04,Massachusetts,Louisiana,18
2020-01-04,Utah,North Carolina,20
2020-01-04,Pennsylvania,North Carolina,144
2020-01-04,Massachusetts,Illinois,136
2020-01-04,Massachusetts,Hawaii,5
2020-01-04,Tennessee,Arizona,35
2020-01-04,Florida,Kentucky,50
2020-01-04,Massachusetts,New York,233
2020-01-04,Oklahoma,Georgia,61
2020-01-04,Texas,Georgia,481
2020-01-04,Massachusetts,Washington,34
2020-01-04,Florida,Connecticut,151
2020-01-04,Oklahoma,District of Columbia,6
2020-01-04,South Dakota,Nevada,6
2020-01-04,Massachusetts,Virginia,25
2020-01-04,Massachusetts,Utah,20
2020-01-04,Massachusetts,Texas,97
2020-01-04,Massachusetts,Tennessee,32
2020-01-04,Massachusetts,North Carolina,143
2020-01-04,Florida,District of Columbia,387
2020-01-04,Massachusetts,South Carolina,16
2020-01-04,Utah,New Jersey,28
2020-01-04,Oklahoma,Florida,5
2020-01-04,Alaska,Hawaii,16
2020-01-04,Massachusetts,Pennsylvania,137
2020-01-04,Florida,Florida,399
2020-01-04,Massachusetts,Oregon,10
2020-01-04,Massachusetts,Ohio,34
2020-01-04,Florida,Georgia,1142
2020-01-04,Arizona,Tennessee,37
2020-01-04,Massachusetts,Georgia,109
2020-01-04,Florida,Louisiana,119
2020-01-04,Massachusetts,Florida,406
2020-01-04,Alaska,Colorado,9
2020-01-04,Florida,Mississippi,1
2020-01-04,Maryland,Rhode Island,35
2020-01-04,Tennessee,California,93
2020-01-04,Maryland,Pennsylvania,19
2020-01-04,Washington,New Jersey,31
2020-01-04,Florida,Missouri,163
2020-01-04,Pennsylvania,New York,25
2020-01-04,Maryland,Oklahoma,7
2020-01-04,Maryland,South Carolina,31
2020-01-04,Maryland,Ohio,54
2020-01-04,Arizona,Kansas,9
2020-01-04,Maryland,North Carolina,118
2020-01-04,Florida,Nebraska,13
2020-01-04,Maryland,New York,108
2020-01-04,Texas,Florida,932
2020-01-04,Maryland,New Mexico,7
2020-01-04,Florida,Nevada,95
2020-01-04,Oklahoma,Tennessee,6
2020-01-04,Maryland,New Hampshire,26
2020-01-04,Utah,Pennsylvania,17
2020-01-04,Maryland,Tennessee,51
2020-01-04,Oklahoma,North Carolina,7
2020-01-04,Florida,Minnesota,180
2020-01-04,Arizona,Pennsylvania,69
2020-01-04,Massachusetts,District of Columbia,185
2020-01-04,Utah,Ohio,15
2020-01-04,Oklahoma,Missouri,26
2020-01-04,Washington,New Mexico,7
2020-01-04,Florida,Maine,17
2020-01-04,Massachusetts,Colorado,56
2020-01-04,Oklahoma,Nevada,26
2020-01-04,Massachusetts,California,213
2020-01-04,Florida,Maryland,348
2020-01-04,Massachusetts,Arizona,33
2020-01-04,Maryland,Wisconsin,13
2020-01-04,Maryland,Washington,8
2020-01-04,Florida,Massachusetts,404
2020-01-04,Maryland,Virginia,27
2020-01-04,Utah,Oregon,39
2020-01-04,Wyoming,Illinois,12
2020-01-04,Maryland,Utah,13
2020-01-04,Florida,Michigan,394
2020-01-04,Arizona,Oregon,60
2020-01-04,Maryland,Texas,143
2020-01-04,Missouri,Massachusetts,20
2020-01-04,Florida,Wisconsin,77
2020-01-04,Texas,Illinois,417
2020-01-04,Missouri,Minnesota,49
2020-01-04,Colorado,Alaska,9
2020-01-04,New Mexico,Colorado,31
2020-01-04,New Mexico,California,39
2020-01-04,Wisconsin,Florida,81
2020-01-04,Colorado,Arizona,196
2020-01-04,California,Hawaii,552
2020-01-04,New Mexico,Arizona,51
2020-01-04,Texas,New Mexico,109
2020-01-04,New Jersey,Wyoming,7
2020-01-04,New Mexico,Georgia,13
2020-01-04,Colorado,Arkansas,6
2020-01-04,Texas,Louisiana,251
2020-01-04,New Jersey,Utah,28
2020-01-04,Colorado,California,612
2020-01-04,North Carolina,Pennsylvania,143
2020-01-04,New Jersey,Texas,153
2020-01-04,New Jersey,Tennessee,15
2020-01-04,Texas,New York,320
2020-01-04,Arizona,Florida,94
2020-01-04,North Carolina,Rhode Island,27
2020-01-04,New Jersey,Washington,31
2020-01-04,New Jersey,South Carolina,10
2020-01-04,North Carolina,Oregon,6
2020-01-04,Rhode Island,North Carolina,27
2020-01-04,Arizona,Georgia,96
2020-01-04,New York,California,472
2020-01-04,California,Utah,315
2020-01-04,Wyoming,Minnesota,2
2020-01-04,New York,Arizona,60
2020-01-04,Arizona,Illinois,180
2020-01-04,New Mexico,Washington,7
2020-01-04,California,Washington,796
2020-01-04,New Mexico,Texas,108
2020-01-04,New Mexico,Illinois,7
2020-01-04,New Mexico,New York,5
2020-01-04,New Mexico,Nevada,29
2020-01-04,California,Idaho,36
2020-01-04,Tennessee,Wisconsin,14
2020-01-04,Rhode Island,Michigan,5
2020-01-04,New Mexico,Missouri,6
2020-01-04,North Carolina,Oklahoma,7
2020-01-04,California,Wisconsin,1
2020-01-04,New Mexico,Maryland,7
2020-01-04,Colorado,Alabama,3
2020-01-04,Texas,New Jersey,156
2020-01-04,Texas,Nevada,392
2020-01-04,Colorado,Colorado,18
2020-01-04,New Jersey,Oregon,18
2020-01-04,New Jersey,Hawaii,7
2020-01-04,Colorado,Hawaii,30
2020-01-04,New Jersey,Georgia,114
2020-01-04,New Jersey,Florida,674
2020-01-04,Colorado,Idaho,27
2020-01-04,New Jersey,District of Columbia,11
2020-01-04,Texas,Oklahoma,154
2020-01-04,Texas,Kentucky,16
2020-01-04,New Jersey,Colorado,63
2020-01-04,New Jersey,Illinois,80
2020-01-04,North Carolina,Texas,237
2020-01-04,Arizona,District of Columbia,30
2020-01-04,New Jersey,California,239
2020-01-04,Colorado,Indiana,31
2020-01-04,North Carolina,Utah,20
2020-01-04,New Jersey,Arizona,55
2020-01-04,New Hampshire,Maryland,26
2020-01-04,Texas,Oregon,58
2020-01-04,Wisconsin,Colorado,43
2020-01-04,Colorado,Iowa,33
2020-01-04,Colorado,Illinois,171
2020-01-04,New Jersey,Pennsylvania,5
2020-01-04,Wisconsin,Nevada,27
2020-01-04,Colorado,Georgia,120
2020-01-04,Colorado,Connecticut,9
2020-01-04,Rhode Island,Pennsylvania,2
2020-01-04,New Jersey,Ohio,17
2020-01-04,New Jersey,North Carolina,114
2020-01-04,California,Georgia,309
2020-01-04,New Jersey,New York,6
2020-01-04,North Carolina,South Carolina,28
2020-01-04,Wisconsin,District of Columbia,13
2020-01-04,Colorado,District of Columbia,87
2020-01-04,California,Florida,296
2020-01-04,New Jersey,Nevada,53
2020-01-04,New Jersey,Montana,7
2020-01-04,North Carolina,Tennessee,97
2020-01-04,New Jersey,Minnesota,10
2020-01-04,Colorado,Florida,259
2020-01-04,South Carolina,Colorado,4
2020-01-04,New Jersey,Michigan,11
2020-01-04,New Jersey,Massachusetts,93
2020-01-04,New Jersey,Louisiana,32
2020-01-04,Texas,Ohio,84
2020-01-04,Texas,North Carolina,234
2020-01-04,Pennsylvania,Texas,128
2020-01-04,New York,Colorado,115
2020-01-04,New York,District of Columbia,49
2020-01-04,Rhode Island,District of Columbia,15
2020-01-04,North Carolina,Colorado,75
2020-01-04,California,Louisiana,71
2020-01-04,North Carolina,California,139
2020-01-04,North Carolina,Minnesota,69
2020-01-04,North Carolina,Arizona,65
2020-01-04,Texas,Minnesota,96
2020-01-04,California,Nebraska,13
2020-01-04,New York,Wyoming,2
2020-01-04,California,Montana,1
2020-01-04,New York,Wisconsin,13
2020-01-04,Rhode Island,Florida,85
2020-01-04,New York,Washington,50
2020-01-04,New York,Virginia,1
2020-01-04,California,Kentucky,6
2020-01-04,New York,Vermont,21
2020-01-04,California,New Jersey,242
2020-01-04,North Carolina,Missouri,56
2020-01-04,New York,Utah,50
2020-01-04,New York,Texas,324
2020-01-04,California,Nevada,1072
2020-01-04,California,New Mexico,39
2020-01-04,North Carolina,Connecticut,40
2020-01-04,North Carolina,District of Columbia,75
2020-01-04,North Carolina,Maryland,113
2020-01-04,North Carolina,Maine,17
2020-01-04,Texas,Massachusetts,96
2020-01-04,Texas,Alabama,36
2020-01-04,Wisconsin,Minnesota,34
2020-01-04,California,Massachusetts,211
2020-01-04,North Carolina,Louisiana,40
2020-01-04,North Carolina,Indiana,8
2020-01-04,California,Michigan,104
2020-01-04,California,Missouri,124
2020-01-04,California,Maryland,70
2020-01-04,North Carolina,Illinois,118
2020-01-04,North Carolina,Georgia,255
2020-01-04,California,Minnesota,164
2020-01-04,North Carolina,Florida,649
2020-01-04,Texas,Michigan,112
2020-01-04,North Carolina,Michigan,78
2020-01-04,Arizona,Idaho,24
2020-01-04,Wisconsin,Michigan,16
2020-01-04,Wisconsin,Massachusetts,1
2020-01-04,North Carolina,Massachusetts,143
2020-01-04,North Carolina,Ohio,18
2020-01-04,Wisconsin,Missouri,20
2020-01-04,Wisconsin,Maryland,14
2020-01-04,North Carolina,New Jersey,111
2020-01-04,New York,Minnesota,71
2020-01-04,California,Oregon,429
2020-01-04,New York,Michigan,93
2020-01-04,New York,Massachusetts,240
2020-01-04,California,Pennsylvania,121
2020-01-04,North Carolina,New York,230
2020-01-04,New York,Maryland,103
2020-01-04,New York,Louisiana,50
2020-01-04,California,Indiana,24
2020-01-04,Texas,Nebraska,35
2020-01-04,Rhode Island,Maryland,36
2020-01-04,New York,Illinois,297
2020-01-04,New York,Hawaii,8
2020-01-04,California,Tennessee,89
2020-01-04,North Carolina,North Carolina,174
2020-01-04,New York,Georgia,350
2020-01-04,New York,Florida,1164
2020-01-04,Wisconsin,Georgia,81
2020-01-04,California,Texas,1120
2020-01-04,California,Illinois,504
2020-01-04,New York,Tennessee,31
2020-01-04,Texas,Montana,9
2020-01-04,California,Oklahoma,2
2020-01-04,California,New York,473
2020-01-04,New York,South Carolina,32
2020-01-04,New York,Pennsylvania,25
2020-01-04,New York,Oregon,19
2020-01-04,Arizona,Hawaii,39
2020-01-04,New York,Ohio,10
2020-01-04,Rhode Island,Georgia,19
2020-01-04,Texas,Missouri,238
2020-01-04,Pennsylvania,Utah,17
2020-01-04,New York,Missouri,35
2020-01-04,California,North Carolina,142
2020-01-04,Texas,Maryland,138
2020-01-04,New York,New York,148
2020-01-04,North Carolina,Nevada,58
2020-01-04,Wisconsin,Illinois,10
2020-01-04,California,Ohio,58
2020-01-04,New York,New Mexico,5
2020-01-04,Rhode Island,Illinois,9
2020-01-04,New York,New Jersey,5
2020-01-04,New York,Nevada,98
2020-01-04,New York,North Carolina,231
2020-01-04,New Hampshire,Illinois,7
2020-01-04,New Hampshire,Florida,28
2020-01-04,Colorado,Kansas,11
2020-01-04,Nebraska,Arizona,35
2020-01-04,Tennessee,Virginia,2
2020-01-04,South Carolina,Massachusetts,16
2020-01-04,Washington,Washington,56
2020-01-04,Montana,Utah,27
2020-01-04,Colorado,Virginia,4
2020-01-04,Montana,Texas,10
2020-01-04,Texas,Wyoming,11
2020-01-04,Arkansas,Texas,28
2020-01-04,Arizona,Arizona,26
2020-01-04,Wisconsin,North Carolina,3
2020-01-04,Colorado,Washington,140
2020-01-04,Montana,Nevada,10
2020-01-04,Montana,Minnesota,29
2020-01-04,South Carolina,Michigan,2
2020-01-04,Colorado,Wisconsin,38
2020-01-04,Ohio,District of Columbia,13
2020-01-04,Montana,Michigan,2
2020-01-04,Montana,Illinois,14
2020-01-04,Montana,Georgia,4
2020-01-04,Montana,New Jersey,7
2020-01-04,Colorado,Wyoming,14
2020-01-04,Texas,Wisconsin,32
2020-01-04,Colorado,Utah,89
2020-01-04,Nebraska,Tennessee,1
2020-01-04,Arizona,Arkansas,3
2020-01-04,Wyoming,New Jersey,7
2020-01-04,Colorado,South Carolina,4
2020-01-04,Wisconsin,New York,13
2020-01-04,Nebraska,Nevada,23
2020-01-04,Colorado,South Dakota,12
2020-01-04,South Carolina,Maryland,31
2020-01-04,Nebraska,Missouri,14
2020-01-04,Ohio,Colorado,71
2020-01-04,Texas,Washington,132
2020-01-04,Nebraska,Illinois,37
2020-01-04,Colorado,Tennessee,54
2020-01-04,Nebraska,Georgia,31
2020-01-04,Nebraska,Florida,13
2020-01-04,Colorado,Texas,512
2020-01-04,Nebraska,District of Columbia,7
2020-01-04,Nebraska,Colorado,41
2020-01-04,Texas,Indiana,49
2020-01-04,Nebraska,California,13
2020-01-04,Ohio,California,59
2020-01-04,California,Alaska,7
2020-01-04,Ohio,Florida,354
2020-01-04,Montana,California,1
2020-01-04,Missouri,Ohio,31
2020-01-04,Pennsylvania,South Carolina,1
2020-01-04,Missouri,North Carolina,54
2020-01-04,Connecticut,Maryland,34
2020-01-04,Missouri,New York,34
2020-01-04,Ohio,Maryland,60
2020-01-04,Missouri,New Mexico,6
2020-01-04,Utah,Colorado,88
2020-01-04,Tennessee,Utah,9
2020-01-04,Missouri,Oklahoma,27
2020-01-04,South Carolina,New York,32
2020-01-04,Missouri,Nevada,56
2020-01-04,Connecticut,Minnesota,5
2020-01-04,Washington,Texas,130
2020-01-04,Missouri,Nebraska,13
2020-01-04,Connecticut,Missouri,6
2020-01-04,Arkansas,Missouri,13
2020-01-04,Wisconsin,Ohio,6
2020-01-04,Missouri,Missouri,48
2020-01-04,Connecticut,North Carolina,40
2020-01-04,Connecticut,Michigan,12
2020-01-04,Montana,Colorado,44
2020-01-04,Connecticut,Illinois,38
2020-01-04,Ohio,Louisiana,8
2020-01-04,Connecticut,California,3
2020-01-04,Montana,Arizona,13
2020-01-04,Utah,Arizona,124
2020-01-04,Ohio,Georgia,222
2020-01-04,Connecticut,Colorado,9
2020-01-04,Missouri,Wisconsin,25
2020-01-04,Missouri,Washington,29
2020-01-04,Arizona,Alaska,5
2020-01-04,Ohio,Illinois,110
2020-01-04,Missouri,Oregon,6
2020-01-04,Washington,Utah,85
2020-01-04,Missouri,Utah,31
2020-01-04,Connecticut,Florida,150
2020-01-04,Missouri,Texas,246
2020-01-04,Missouri,Tennessee,35
2020-01-04,Utah,California,318
2020-01-04,Arkansas,Nevada,9
2020-01-04,Missouri,Pennsylvania,39
2020-01-04,Connecticut,Georgia,45
2020-01-04,South Carolina,New Jersey,12
2020-01-04,Connecticut,District of Columbia,4
2020-01-04,Nebraska,Texas,33
2020-01-04,Washington,Wisconsin,7
2020-01-04,Nebraska,Washington,7
2020-01-04,North Carolina,Wisconsin,4
2020-01-04,Nevada,North Dakota,12
2020-01-04,Texas,South Carolina,30
2020-01-04,Colorado,Michigan,60
2020-01-04,Nevada,North Carolina,56
2020-01-04,Arizona,Colorado,198
2020-01-04,Colorado,Minnesota,102
2020-01-04,South Carolina,Georgia,166
2020-01-04,Nevada,New York,98
2020-01-04,Nevada,Ohio,57
2020-01-04,Wisconsin,Arizona,40
2020-01-04,Nevada,New Mexico,24
2020-01-04,Colorado,Missouri,94
2020-01-04,North Dakota,Arizona,26
2020-01-04,Nevada,New Jersey,53
2020-01-04,Nevada,Nevada,150
2020-01-04,Colorado,Montana,43
2020-01-04,Nevada,Nebraska,24
2020-01-04,Nevada,Montana,10
2020-01-04,South Carolina,Illinois,12
2020-01-04,California,Colorado,600
2020-01-04,West Virginia,Georgia,3
2020-01-04,Nevada,Oklahoma,26
2020-01-04,Nevada,Oregon,67
2020-01-04,California,District of Columbia,186
2020-01-04,Nevada,Wisconsin,27
2020-01-04,Nevada,Washington,173
2020-01-04,Tennessee,Washington,16
2020-01-04,Nevada,Virginia,3
2020-01-04,Wisconsin,California,1
2020-01-04,Colorado,Kentucky,6
2020-01-04,South Carolina,Florida,28
2020-01-04,North Carolina,Virginia,58
2020-01-04,Colorado,Massachusetts,57
2020-01-04,Nevada,Utah,82
2020-01-04,Colorado,Louisiana,41
2020-01-04,California,Connecticut,3
2020-01-04,Nevada,Tennessee,38
2020-01-04,Texas,Pennsylvania,126
2020-01-04,Nevada,South Dakota,6
2020-01-04,Colorado,Maryland,49
2020-01-04,Texas,Kansas,11
2020-01-04,Nevada,Pennsylvania,45
2020-01-04,North Carolina,Washington,34
2020-01-04,Nevada,Texas,395
